date,fixed_rate,inflation_rate
"May 1, 2022",0.00%,4.81%
"November 1, 2021",0.00%,3.56%
"May 1, 2021",0.00%,1.77%
"November 1, 2020",0.00%,0.84%
"May 1, 2020",0.00%,0.53%
"November 1, 2019",0.20%,1.01%
"May 1, 2019",0.50%,0.70%
"November 1, 2018",0.50%,1.16%
"May 1, 2018",0.30%,1.11%
"November 1, 2017",0.10%,1.24%
"May 1, 2017",0.00%,0.98%
"November 1, 2016",0.00%,1.38%
"May 1, 2016",0.10%,0.08%
"November 1, 2015",0.10%,0.77%
"May 1, 2015",0.00%,-0.80%
"November 1, 2014",0.00%,0.74%
"May 1, 2014",0.10%,0.92%
"November 1, 2013",0.20%,0.59%
"May 1, 2013",0.00%,0.59%
"November 1, 2012",0.00%,0.88%
"May 1, 2012",0.00%,1.10%
"November 1, 2011",0.00%,1.53%
"May 1, 2011",0.00%,2.30%
"November 1, 2010",0.00%,0.37%
"May 1, 2010",0.20%,0.77%
"November 1, 2009",0.30%,1.53%
"May 1, 2009",0.10%,-2.78%
"November 1, 2008",0.70%,2.46%
"May 1, 2008",0.00%,2.42%
"November 1, 2007",1.20%,1.53%
"May 1, 2007",1.30%,1.21%
"November 1, 2006",1.40%,1.55%
"May 1, 2006",1.40%,0.50%
"November 1, 2005",1.00%,2.85%
"May 1, 2005",1.20%,1.79%
"November 1, 2004",1.00%,1.33%
"May 1, 2004",1.00%,1.19%
"November 1, 2003",1.10%,0.54%
"May 1, 2003",1.10%,1.77%
"November 1, 2002",1.60%,1.23%
"May 1, 2002",2.00%,0.28%
"November 1, 2001",2.00%,1.19%
"May 1, 2001",3.00%,1.44%
"November 1, 2000",3.40%,1.52%
"May 1, 2000",3.60%,1.91%
"November 1, 1999",3.40%,1.76%
"May 1, 1999",3.30%,0.86%
"November 1, 1998",3.30%,0.86%
"September 1, 1998",3.40%,0.62%
